Date,Real,ARIMAX_Pred,Error_Abs,Error_Pct
2018-01-06,12513.0,12996.513266081987,483.51326608198724,3.8640874776791114
2018-01-08,12003.0,12959.205258818114,956.2052588181141,7.9663855604275104
2018-01-09,11915.0,12921.085660040708,1006.0856600407078,8.44385782661106
2018-01-10,12123.0,12882.945992548175,759.9459925481751,6.2686298156246405
2018-01-11,12202.0,12844.805828804365,642.8058288043649,5.268036623540115
2018-01-12,12783.0,12806.665652789447,23.66565278944654,0.18513379323669357
2019-01-01,13197.0,12768.525476471095,428.4745235289047,3.246757016965255
2019-01-02,13128.0,12753.480635739685,374.51936426031534,2.8528287954015488
2019-01-03,12930.0,12738.435795008092,191.5642049919079,1.4815483758074857
2019-01-04,12828.0,12723.390954276494,104.60904572350591,0.815474319640676
2019-01-05,13058.0,12708.346113544896,349.65388645510393,2.677698625019941
2019-01-06,14097.0,12693.301272813298,1403.698727186702,9.95742872374762
2019-01-07,14261.0,12678.2564320817,1582.7435679183,11.098405216452562
2019-01-08,15191.0,12663.211591350102,2527.788408649898,16.640039554011572
2019-01-10,15114.0,12648.166750618504,2465.833249381496,16.31489512625047
2019-01-11,14656.0,12633.121909886906,2022.878090113094,13.802388715291308
2020-01-01,15829.0,12618.077069155308,3210.922930844692,20.285064949426317
2020-01-02,15641.0,12612.111965716864,3028.888034283136,19.365053604521044
2020-01-04,16842.0,12606.14686227842,4235.85313772158,25.15053519606686
2020-01-05,17369.0,12600.181758839975,4768.818241160025,27.45591710035134
2020-01-06,17930.0,12594.216655401531,5335.783344598469,29.758970131614436
2020-01-07,19628.0,12588.251551963087,7039.748448036913,35.86584699427814
2020-01-08,19676.0,12582.286448524643,7093.713551475357,36.05262020469281
2020-01-09,18875.0,12576.321345086199,6298.678654913801,33.37048293994067
2020-01-10,18774.0,12570.356241647756,6203.643758352244,33.04380397545671
2020-01-12,18931.0,12564.391138209312,6366.608861790688,33.630599872118154
2021-01-01,18473.0,12558.426034770868,5914.573965229132,32.01739817695628
2021-01-02,17281.0,12552.428873506411,4728.571126493589,27.362832744017062
2021-01-03,17138.0,12546.431712241956,4591.568287758044,26.79173933806771
2021-01-04,17673.0,12540.434550977501,5132.565449022499,29.04184603079556
2021-01-05,19025.0,12534.437389713043,6490.562610286957,34.1159664141233
2021-01-06,17708.0,12528.440228448588,5179.559771551412,29.24982929495941
2021-01-07,18126.0,12522.443067184133,5603.556932815867,30.9144705550914
2021-01-09,17553.0,12516.445905919674,5036.554094080326,28.69340907013232
2021-01-10,17830.0,12510.44874465522,5319.551255344781,29.834835980621317
2021-01-11,17736.0,12504.451583390764,5231.548416609236,29.496777270011478
2021-01-12,18275.0,12498.454422126308,5776.545577873692,31.6090045300886
2022-01-01,17950.0,12492.457260861851,5457.542739138149,30.40413782249665
2022-01-02,18994.0,12490.778649955839,6503.221350044161,34.238292882195225
2022-01-03,19492.0,12489.100039049827,7002.899960950173,35.927046793300704
2022-01-04,19093.0,12487.421428143814,6605.578571856186,34.59686048214626
2022-01-06,18041.0,12485.742817237802,5555.257182762198,30.792401656017947
2022-01-07,17629.0,12484.06420633179,5144.93579366821,29.18450163746219
2022-01-08,17128.0,12482.385595425776,4645.614404574224,27.12292389405782
2022-01-09,16624.0,12480.706984519764,4143.293015480236,24.92356241265782
2022-01-10,16359.0,12479.02837361375,3879.97162638625,23.717657719825482
2022-01-11,17460.0,12477.349762707738,4982.650237292262,28.537515677504366
2022-01-12,18197.0,12475.671151801726,5721.3288481982745,31.441055383845
2023-01-02,18289.0,12473.992540895713,5815.007459104287,31.795108858353583
2023-01-03,19690.0,12472.313929989701,7217.686070010299,36.656607770494155
2023-01-04,19901.0,12470.635319083689,7430.364680916311,37.33663977145024
2023-01-05,19639.0,12468.956708177677,7170.043291822323,36.50920765732636
2023-01-06,19211.0,12467.278097271665,6743.721902728335,35.103440230744546
2023-01-07,19705.0,12465.599486365652,7239.400513634348,36.73890136328012
2023-01-08,19382.0,12463.92087545964,6918.07912454036,35.693319185534826
2023-01-09,18481.0,12462.242264553624,6018.757735446376,32.56727306664345
2023-01-11,20381.0,12460.563653647614,7920.436346352386,38.86186323709527
2023-01-12,20624.0,12458.8850427416,8165.1149572584,39.590355688801395
2024-01-01,20484.0,12457.206431835588,8026.793568164412,39.18567451749859
2024-01-02,20457.0,12427.372119394036,8029.627880605964,39.25124837760162
2024-01-03,22174.0,12397.537806952485,9776.462193047515,44.08975463627453
2024-01-04,22914.0,12367.703494510935,10546.296505489065,46.02555863441155
2024-01-05,23229.0,12337.869182069384,10891.130817930616,46.88592198515053
2024-01-06,23277.0,12308.034869627832,10968.965130372168,47.123620442377316
2024-01-07,24265.0,12278.200557186281,11986.799442813719,49.39954437590653
2024-01-08,24938.0,12248.36624474473,12689.63375525527,50.88472914931137
2024-01-10,27383.0,12218.53193230318,15164.46806769682,55.37913328596874
2024-01-11,26570.0,12188.697619861628,14381.302380138372,54.126091005413514
2025-01-01,28125.0,12158.863307420077,15966.136692579923,56.76848601806195
2025-01-02,28368.0,12158.863307420077,16209.136692579923,57.13880672793261
2025-01-03,31228.0,12158.863307420077,19069.136692579923,61.064226631804544
2025-01-04,33050.0,12158.863307420077,20891.136692579923,63.21070103655045
2025-01-05,32889.0,12158.863307420077,20730.136692579923,63.03060808349272
2025-01-07,32932.0,12158.863307420077,20773.136692579923,63.07887979041639
2025-01-08,34737.0,12158.863307420077,22578.136692579923,64.99737079362042
2025-01-09,38408.0,12158.863307420077,26249.136692579923,68.34288870178068
2025-01-10,39822.0,12158.863307420077,27663.136692579923,69.46696974682317
2025-01-11,42183.0,12158.863307420077,30024.136692579923,71.17591610975967
2025-01-12,43256.0,12158.863307420077,31097.136692579923,71.890920779961
